step,total_load_N,max_DCR,all_members_safe
5.600000000000000000e+01,7.840000000000000000e+05,5.614059818198749996e-01,1.000000000000000000e+00
5.700000000000000000e+01,7.980000000000000000e+05,5.714718497761186455e-01,1.000000000000000000e+00
5.800000000000000000e+01,8.120000000000000000e+05,5.815391557358192687e-01,1.000000000000000000e+00
5.900000000000000000e+01,8.260000000000000000e+05,5.916079000616357719e-01,1.000000000000000000e+00
6.000000000000000000e+01,8.400000000000000000e+05,6.016780832072549101e-01,1.000000000000000000e+00
6.100000000000000000e+01,8.540000000000000000e+05,6.117497055983420751e-01,1.000000000000000000e+00
6.200000000000000000e+01,8.680000000000000000e+05,6.218227676162901840e-01,1.000000000000000000e+00
6.300000000000000000e+01,8.820000000000000000e+05,6.318972695776411408e-01,1.000000000000000000e+00
6.400000000000000000e+01,8.960000000000000000e+05,6.419732120520496021e-01,1.000000000000000000e+00
6.500000000000000000e+01,9.100000000000000000e+05,6.520505953934466747e-01,1.000000000000000000e+00
6.600000000000000000e+01,9.240000000000000000e+05,6.621294198072318338e-01,1.000000000000000000e+00
6.700000000000000000e+01,9.380000000000000000e+05,6.722096859432968863e-01,1.000000000000000000e+00
6.800000000000000000e+01,9.520000000000000000e+05,6.822913940935811938e-01,1.000000000000000000e+00
6.900000000000000000e+01,9.660000000000000000e+05,6.923745447724423130e-01,1.000000000000000000e+00
7.000000000000000000e+01,9.800000000000000000e+05,7.024591382232708847e-01,1.000000000000000000e+00
7.100000000000000000e+01,9.940000000000000000e+05,7.125451749666906753e-01,1.000000000000000000e+00
7.200000000000000000e+01,1.008000000000000000e+06,7.226326554240279920e-01,1.000000000000000000e+00
7.300000000000000000e+01,1.022000000000000000e+06,7.327215798996086216e-01,1.000000000000000000e+00
7.400000000000000000e+01,1.036000000000000000e+06,7.428119487267558219e-01,1.000000000000000000e+00
7.500000000000000000e+01,1.050000000000000000e+06,7.529037625618311136e-01,1.000000000000000000e+00
7.600000000000000000e+01,1.064000000000000000e+06,7.629970216602471877e-01,1.000000000000000000e+00
7.700000000000000000e+01,1.078000000000000000e+06,7.730917264208351236e-01,1.000000000000000000e+00
7.800000000000000000e+01,1.092000000000000000e+06,7.831878773672483751e-01,1.000000000000000000e+00
7.900000000000000000e+01,1.106000000000000000e+06,7.932854746352125952e-01,1.000000000000000000e+00
8.000000000000000000e+01,1.120000000000000000e+06,8.033845189185335744e-01,1.000000000000000000e+00
8.100000000000000000e+01,1.134000000000000000e+06,8.134850105257536157e-01,1.000000000000000000e+00
8.200000000000000000e+01,1.148000000000000000e+06,8.235869497545841300e-01,1.000000000000000000e+00
8.300000000000000000e+01,1.162000000000000000e+06,8.336903371371761073e-01,1.000000000000000000e+00
8.400000000000000000e+01,1.176000000000000000e+06,8.437951730164463537e-01,1.000000000000000000e+00
8.500000000000000000e+01,1.190000000000000000e+06,8.539014578608443706e-01,1.000000000000000000e+00
8.600000000000000000e+01,1.204000000000000000e+06,8.640091920663988123e-01,1.000000000000000000e+00
8.700000000000000000e+01,1.218000000000000000e+06,8.741183759704179712e-01,1.000000000000000000e+00
8.800000000000000000e+01,1.232000000000000000e+06,8.842290100016865217e-01,1.000000000000000000e+00
8.900000000000000000e+01,1.246000000000000000e+06,8.943410945716565585e-01,1.000000000000000000e+00
9.000000000000000000e+01,1.260000000000000000e+06,9.044546301897624652e-01,1.000000000000000000e+00
9.100000000000000000e+01,1.274000000000000000e+06,9.145696170585542184e-01,1.000000000000000000e+00
9.200000000000000000e+01,1.288000000000000000e+06,9.246860557147363879e-01,1.000000000000000000e+00
9.300000000000000000e+01,1.302000000000000000e+06,9.348039465932709291e-01,1.000000000000000000e+00
9.400000000000000000e+01,1.316000000000000000e+06,9.449232900779480637e-01,1.000000000000000000e+00
9.500000000000000000e+01,1.330000000000000000e+06,9.550440864208012970e-01,1.000000000000000000e+00
9.600000000000000000e+01,1.344000000000000000e+06,9.651663362453367645e-01,1.000000000000000000e+00
9.700000000000000000e+01,1.358000000000000000e+06,9.752900399091921635e-01,1.000000000000000000e+00
9.800000000000000000e+01,1.372000000000000000e+06,9.854151976252610856e-01,1.000000000000000000e+00
9.900000000000000000e+01,1.386000000000000000e+06,9.955418100754014343e-01,1.000000000000000000e+00
1.000000000000000000e+02,1.400000000000000000e+06,1.005669877549499880e+00,0.000000000000000000e+00
